19^3 = 6859 =  a:3 b:10 c:18
499^3 = 124251499 =  a:123 b:168 c:490
503^3 = 127263527 =  a:47 b:392 c:406
503^3 = 127263527 =  a:55 b:128 c:500
509^3 = 131872229 =  a:15 b:383 c:423
521^3 = 141420761 =  a:87 b:369 c:449
523^3 = 143055667 =  a:37 b:279 c:495
541^3 = 158340421 =  a:21 b:198 c:532
541^3 = 158340421 =  a:229 b:256 c:506
547^3 = 163667323 =  a:206 b:211 c:526
547^3 = 163667323 =  a:319 b:379 c:425
547^3 = 163667323 =  a:51 b:430 c:438
557^3 = 172808693 =  a:170 b:348 c:501
569^3 = 184220009 =  a:177 b:225 c:551
577^3 = 192100033 =  a:153 b:174 c:568
577^3 = 192100033 =  a:172 b:318 c:537
577^3 = 192100033 =  a:1 b:426 c:486
577^3 = 192100033 =  a:356 b:385 c:448
577^3 = 192100033 =  a:41 b:244 c:562
577^3 = 192100033 =  a:90 b:201 c:568
587^3 = 202262003 =  a:264 b:291 c:542
587^3 = 202262003 =  a:54 b:200 c:579
599^3 = 214921799 =  a:284 b:444 c:471
601^3 = 217081801 =  a:164 b:274 c:577
613^3 = 230346397 =  a:141 b:226 c:600
613^3 = 230346397 =  a:37 b:396 c:552
617^3 = 234885113 =  a:152 b:337 c:578
619^3 = 237176659 =  a:115 b:186 c:612
631^3 = 251239591 =  a:120 b:207 c:622
643^3 = 265847707 =  a:236 b:475 c:526
647^3 = 270840023 =  a:327 b:476 c:504
647^3 = 270840023 =  a:98 b:304 c:623
653^3 = 278445077 =  a:21 b:435 c:581
653^3 = 278445077 =  a:333 b:444 c:536
653^3 = 278445077 =  a:365 b:374 c:562
661^3 = 288804781 =  a:103 b:115 c:659
673^3 = 304821217 =  a:81 b:426 c:610
677^3 = 310288733 =  a:227 b:471 c:579
691^3 = 329939371 =  a:243 b:304 c:660
691^3 = 329939371 =  a:243 b:408 c:628
701^3 = 344472101 =  a:165 b:530 c:576
709^3 = 356400829 =  a:193 b:461 c:631
733^3 = 393832837 =  a:373 b:552 c:558
733^3 = 393832837 =  a:69 b:562 c:600
739^3 = 403583419 =  a:163 b:396 c:696
751^3 = 423564751 =  a:407 b:514 c:604
757^3 = 433798093 =  a:100 b:565 c:632
761^3 = 440711081 =  a:24 b:249 c:752
769^3 = 454756609 =  a:6 b:121 c:768
773^3 = 461889917 =  a:108 b:197 c:768
787^3 = 487443403 =  a:339 b:544 c:660
797^3 = 506261573 =  a:101 b:488 c:730
821^3 = 553387661 =  a:218 b:573 c:708
827^3 = 565609283 =  a:198 b:219 c:818
829^3 = 569722789 =  a:12 b:496 c:765
853^3 = 620650477 =  a:205 b:384 c:822
859^3 = 633839779 =  a:370 b:518 c:763
863^3 = 642735647 =  a:135 b:620 c:738
863^3 = 642735647 =  a:519 b:620 c:642
877^3 = 674526133 =  a:174 b:436 c:837
877^3 = 674526133 =  a:45 b:508 c:816
877^3 = 674526133 =  a:84 b:534 c:805
887^3 = 697864103 =  a:15 b:276 c:878
907^3 = 746142643 =  a:147 b:564 c:826
907^3 = 746142643 =  a:418 b:667 c:722
911^3 = 756058031 =  a:207 b:516 c:848
911^3 = 756058031 =  a:88 b:386 c:887
919^3 = 776151559 =  a:271 b:438 c:876
919^3 = 776151559 =  a:495 b:676 c:702
929^3 = 801765089 =  a:69 b:447 c:893
937^3 = 822656953 =  a:118 b:268 c:929
937^3 = 822656953 =  a:160 b:386 c:913
937^3 = 822656953 =  a:16 b:593 c:850
967^3 = 904231063 =  a:123 b:675 c:841
971^3 = 915498611 =  a:422 b:451 c:908
977^3 = 932574833 =  a:122 b:729 c:816
977^3 = 932574833 =  a:233 b:344 c:958
977^3 = 932574833 =  a:352 b:740 c:785
983^3 = 949862087 =  a:207 b:705 c:839
983^3 = 949862087 =  a:272 b:687 c:846
991^3 = 973242271 =  a:603 b:705 c:739
1013^3 = 1039509197 =  a:101 b:730 c:866
1013^3 = 1039509197 =  a:446 b:677 c:862
1013^3 = 1039509197 =  a:99 b:563 c:951
1019^3 = 1058089859 =  a:107 b:706 c:890
1031^3 = 1095912791 =  a:218 b:566 c:967
1031^3 = 1095912791 =  a:268 b:719 c:890
1031^3 = 1095912791 =  a:359 b:758 c:850
1031^3 = 1095912791 =  a:394 b:719 c:872
1033^3 = 1102302937 =  a:330 b:529 c:972
1033^3 = 1102302937 =  a:599 b:691 c:823
1049^3 = 1154320649 =  a:232 b:698 c:929
1049^3 = 1154320649 =  a:33 b:522 c:1004
1049^3 = 1154320649 =  a:418 b:698 c:905
1051^3 = 1160935651 =  a:316 b:731 c:904
1051^3 = 1160935651 =  a:426 b:555 c:970
1063^3 = 1201157047 =  a:159 b:582 c:1000
1069^3 = 1221611509 =  a:279 b:339 c:1051
1069^3 = 1221611509 =  a:453 b:664 c:942
1087^3 = 1284365503 =  a:218 b:670 c:991
1093^3 = 1305751357 =  a:274 b:330 c:1077
1103^3 = 1341919727 =  a:326 b:647 c:1012
1103^3 = 1341919727 =  a:501 b:657 c:977
1109^3 = 1363938029 =  a:217 b:875 c:881
1109^3 = 1363938029 =  a:398 b:837 c:894
1117^3 = 1393668613 =  a:466 b:773 c:940
1123^3 = 1416247867 =  a:466 b:838 c:899
1129^3 = 1439069689 =  a:151 b:367 c:1115
1129^3 = 1439069689 =  a:193 b:734 c:1012
1151^3 = 1524845951 =  a:482 b:596 c:1063
1153^3 = 1532808577 =  a:20 b:646 c:1081
1181^3 = 1647212741 =  a:142 b:437 c:1160
1181^3 = 1647212741 =  a:293 b:394 c:1160
1181^3 = 1647212741 =  a:29 b:636 c:1116
1181^3 = 1647212741 =  a:622 b:716 c:1013
1181^3 = 1647212741 =  a:80 b:229 c:1178
1187^3 = 1672446203 =  a:603 b:701 c:1035
1193^3 = 1697936057 =  a:192 b:681 c:1112
1193^3 = 1697936057 =  a:649 b:794 c:974
1217^3 = 1802485313 =  a:257 b:752 c:1108
1223^3 = 1829276567 =  a:242 b:815 c:1084
1229^3 = 1856331989 =  a:526 b:605 c:1142
1229^3 = 1856331989 =  a:58 b:605 c:1178
1229^3 = 1856331989 =  a:813 b:822 c:914
1231^3 = 1865409391 =  a:271 b:724 c:1136
1237^3 = 1892819053 =  a:112 b:850 c:1085
1249^3 = 1948441249 =  a:201 b:648 c:1186
1249^3 = 1948441249 =  a:682 b:705 c:1086
1259^3 = 1995616979 =  a:131 b:878 c:1096
1259^3 = 1995616979 =  a:803 b:872 c:934
2591^3 = 17394111071 =  a:698 b:1663 c:2318
2609^3 = 17759152529 =  a:232 b:1721 c:2330
2621^3 = 18005329061 =  a:110 b:1272 c:2517
2621^3 = 18005329061 =  a:1395 b:1797 c:2117
2621^3 = 18005329061 =  a:584 b:1405 c:2468
2657^3 = 18757487393 =  a:956 b:1761 c:2316
2663^3 = 18884848247 =  a:1295 b:1977 c:2079
2791^3 = 21740999671 =  a:118 b:279 c:2790
2791^3 = 21740999671 =  a:39 b:594 c:2782
2791^3 = 21740999671 =  a:769 b:1879 c:2447
2797^3 = 21881515573 =  a:1704 b:1773 c:2248
2797^3 = 21881515573 =  a:261 b:2190 c:2248
2803^3 = 22022635627 =  a:976 b:1026 c:2715
2833^3 = 22737343537 =  a:1362 b:2001 c:2302
2833^3 = 22737343537 =  a:450 b:2001 c:2446
2833^3 = 22737343537 =  a:744 b:2001 c:2428
2851^3 = 23173501051 =  a:590 b:1363 c:2734
2857^3 = 23320116793 =  a:424 b:577 c:2846
2857^3 = 23320116793 =  a:745 b:1360 c:2732
2857^3 = 23320116793 =  a:960 b:1318 c:2721
3389^3 = 38923752869 =  a:1085 b:1764 c:3180
3389^3 = 38923752869 =  a:1933 b:2081 c:2831
3389^3 = 38923752869 =  a:226 b:932 c:3365
3389^3 = 38923752869 =  a:230 b:1026 c:3357
3389^3 = 38923752869 =  a:557 b:1730 c:3226
3391^3 = 38992705471 =  a:327 b:2520 c:2842
3391^3 = 38992705471 =  a:343 b:398 c:3388
3391^3 = 38992705471 =  a:880 b:2391 c:2910
3407^3 = 39547260143 =  a:1220 b:1335 c:3282
3407^3 = 39547260143 =  a:188 b:2284 c:3023
3407^3 = 39547260143 =  a:388 b:2375 c:2966
3413^3 = 39756565997 =  a:1038 b:2010 c:3125
3433^3 = 40459583737 =  a:321 b:2670 c:2776
3433^3 = 40459583737 =  a:976 b:2090 c:3121
3833^3 = 56314010537 =  a:1025 b:2452 c:3434
3833^3 = 56314010537 =  a:106 b:1724 c:3713
3833^3 = 56314010537 =  a:1570 b:1724 c:3617
3851^3 = 57111104051 =  a:165 b:1889 c:3693
3851^3 = 57111104051 =  a:1880 b:2827 c:3032
3851^3 = 57111104051 =  a:224 b:2499 c:3462
3851^3 = 57111104051 =  a:779 b:3032 c:3064
3863^3 = 57646656647 =  a:239 b:2512 c:3470
3919^3 = 60190200559 =  a:1240 b:2656 c:3407
3931^3 = 60744803491 =  a:490 b:1187 c:3892
4261^3 = 77363231581 =  a:909 b:1714 c:4152
4271^3 = 77909194511 =  a:411 b:3117 c:3623
4271^3 = 77909194511 =  a:828 b:1967 c:4116
4273^3 = 78018694417 =  a:1233 b:1942 c:4098
4273^3 = 78018694417 =  a:1642 b:2278 c:3953
4273^3 = 78018694417 =  a:1714 b:2969 c:3604
4283^3 = 78567733187 =  a:1826 b:2824 c:3683
4283^3 = 78567733187 =  a:2355 b:3158 c:3240
4283^3 = 78567733187 =  a:62 b:3168 c:3603
4289^3 = 78898389569 =  a:1542 b:2553 c:3884
4289^3 = 78898389569 =  a:292 b:3065 c:3686
4289^3 = 78898389569 =  a:713 b:2170 c:4088
4289^3 = 78898389569 =  a:80 b:1193 c:4258
4297^3 = 79340706073 =  a:2521 b:2854 c:3422
4639^3 = 99832769119 =  a:1216 b:1847 c:4510
4639^3 = 99832769119 =  a:1230 b:3138 c:4063
4639^3 = 99832769119 =  a:1294 b:2024 c:4471
4651^3 = 100609506451 =  a:862 b:1539 c:4584
4877^3 = 116000074133 =  a:327 b:3167 c:4383
4889^3 = 116858447369 =  a:1639 b:3365 c:4205
4903^3 = 117865222327 =  a:706 b:1487 c:4852
5167^3 = 137947992463 =  a:2031 b:2188 c:4920
5167^3 = 137947992463 =  a:639 b:3214 c:4710
5179^3 = 138911350339 =  a:3195 b:3246 c:4162
5381^3 = 155807721341 =  a:1349 b:1648 c:5300
5387^3 = 156329495603 =  a:2057 b:3327 c:4803
5387^3 = 156329495603 =  a:850 b:1136 c:5363
5387^3 = 156329495603 =  a:964 b:1058 c:5363
5573^3 = 173088067517 =  a:2270 b:4026 c:4581
5573^3 = 173088067517 =  a:2970 b:3981 c:4376
5623^3 = 177788739367 =  a:1542 b:2095 c:5484
5623^3 = 177788739367 =  a:2226 b:3780 c:4831
5623^3 = 177788739367 =  a:2558 b:3271 c:5014
5783^3 = 193401383687 =  a:2519 b:3812 c:4960
5791^3 = 194205128671 =  a:1359 b:2082 c:5674
5791^3 = 194205128671 =  a:1575 b:2632 c:5562
5791^3 = 194205128671 =  a:2238 b:2538 c:5503
5791^3 = 194205128671 =  a:3074 b:3142 c:5119
5791^3 = 194205128671 =  a:3796 b:3863 c:4342
5801^3 = 195212937401 =  a:1809 b:4064 c:4962
5801^3 = 195212937401 =  a:2642 b:2742 c:5385
6007^3 = 216756882343 =  a:1047 b:2614 c:5826
6151^3 = 232721860951 =  a:2061 b:3099 c:5791
6151^3 = 232721860951 =  a:3423 b:4045 c:5019
6299^3 = 249927948899 =  a:72 b:3050 c:6051
6337^3 = 254478514753 =  a:1873 b:4978 c:4994
6343^3 = 255202035607 =  a:227 b:3235 c:6049
6343^3 = 255202035607 =  a:3247 b:4194 c:5280
6343^3 = 255202035607 =  a:814 b:4042 c:5735
6469^3 = 270714459709 =  a:198 b:4989 c:5272
6469^3 = 270714459709 =  a:541 b:2110 c:6392
6469^3 = 270714459709 =  a:736 b:3333 c:6156
6473^3 = 271216945817 =  a:1473 b:3845 c:5955
6473^3 = 271216945817 =  a:785 b:2922 c:6264
6473^3 = 271216945817 =  a:836 b:4396 c:5705
6481^3 = 272223782641 =  a:1560 b:1612 c:6417
6481^3 = 272223782641 =  a:748 b:1662 c:6441
6637^3 = 292358316853 =  a:1047 b:5079 c:5431
6637^3 = 292358316853 =  a:853 b:940 c:6626
6763^3 = 309327236947 =  a:1138 b:2970 c:6555
6763^3 = 309327236947 =  a:1177 b:3581 c:6397
6899^3 = 328366190699 =  a:1481 b:3693 c:6501
7039^3 = 348765000319 =  a:2099 b:2377 c:6883
7039^3 = 348765000319 =  a:2631 b:2676 c:6778
7039^3 = 348765000319 =  a:55 b:4412 c:6406
7043^3 = 349359908507 =  a:1824 b:4523 c:6306
7043^3 = 349359908507 =  a:67 b:764 c:7040
7151^3 = 365679263951 =  a:2589 b:5441 c:5721
7151^3 = 365679263951 =  a:3398 b:4600 c:6119
7151^3 = 365679263951 =  a:68 b:4503 c:6498
7177^3 = 369682454233 =  a:40 b:2129 c:7114
7297^3 = 388537587073 =  a:3372 b:4138 c:6537
7297^3 = 388537587073 =  a:3642 b:4506 c:6289
7297^3 = 388537587073 =  a:49 b:4942 c:6446
7297^3 = 388537587073 =  a:672 b:2625 c:7180
7417^3 = 408023180713 =  a:1593 b:5160 c:6436
7417^3 = 408023180713 =  a:3482 b:3574 c:6841
7417^3 = 408023180713 =  a:900 b:5230 c:6417
7523^3 = 425768164667 =  a:4779 b:5229 c:5579
7529^3 = 426787696889 =  a:2600 b:3497 c:7156
7529^3 = 426787696889 =  a:290 b:5258 c:6553
7741^3 = 463864570021 =  a:248 b:3109 c:7570
7741^3 = 463864570021 =  a:3277 b:3834 c:7194
7841^3 = 482074724321 =  a:1913 b:4516 c:7262
7841^3 = 482074724321 =  a:4746 b:5348 c:6057
7867^3 = 486886183363 =  a:4643 b:4786 c:6520
7867^3 = 486886183363 =  a:699 b:5400 c:6904
7867^3 = 486886183363 =  a:843 b:5374 c:6918
7951^3 = 502649506351 =  a:2403 b:4549 c:7335
7951^3 = 502649506351 =  a:3855 b:5440 c:6576
8237^3 = 558865368053 =  a:2952 b:4853 c:7482
8237^3 = 558865368053 =  a:4926 b:5645 c:6378
8237^3 = 558865368053 =  a:563 b:6527 c:6547
8243^3 = 560087524907 =  a:1548 b:4728 c:7667
8243^3 = 560087524907 =  a:1682 b:5211 c:7452
8243^3 = 560087524907 =  a:179 b:6100 c:6932
8243^3 = 560087524907 =  a:779 b:6280 c:6782
8263^3 = 564174247447 =  a:2911 b:3454 c:7928
8263^3 = 564174247447 =  a:852 b:4231 c:7872
8429^3 = 598863937589 =  a:2930 b:6052 c:7061
8429^3 = 598863937589 =  a:3620 b:4141 c:7832
8443^3 = 601852914307 =  a:1630 b:5700 c:7443
8443^3 = 601852914307 =  a:2412 b:4656 c:7867
8443^3 = 601852914307 =  a:4020 b:6402 c:6499
8443^3 = 601852914307 =  a:4347 b:5856 c:6832
8521^3 = 618688004761 =  a:1163 b:5401 c:7717
8521^3 = 618688004761 =  a:1537 b:6246 c:7188
8521^3 = 618688004761 =  a:2157 b:6165 c:7207
8521^3 = 618688004761 =  a:3337 b:6252 c:6960
8527^3 = 619995859183 =  a:2034 b:2559 c:8410
8527^3 = 619995859183 =  a:2575 b:6556 c:6848
8527^3 = 619995859183 =  a:3984 b:4623 c:7708
8623^3 = 641172900367 =  a:2014 b:5639 c:7684
8623^3 = 641172900367 =  a:2999 b:5386 c:7708
8623^3 = 641172900367 =  a:3271 b:3436 c:8270
8623^3 = 641172900367 =  a:359 b:5542 c:7780
8623^3 = 641172900367 =  a:4437 b:6267 c:6751
8699^3 = 658275956099 =  a:2831 b:6701 c:6943
8863^3 = 696213191647 =  a:1052 b:2911 c:8752
8863^3 = 696213191647 =  a:2222 b:6574 c:7375
8863^3 = 696213191647 =  a:400 b:863 c:8860
8867^3 = 697156250363 =  a:4974 b:5907 c:7166
8867^3 = 697156250363 =  a:729 b:4997 c:8301
9029^3 = 736069731389 =  a:2231 b:4561 c:8573
9181^3 = 773873476741 =  a:3127 b:6763 c:7571
9181^3 = 773873476741 =  a:4015 b:6323 c:7699
9181^3 = 773873476741 =  a:893 b:3973 c:8923
9479^3 = 851701809239 =  a:191 b:5765 c:8707
9539^3 = 867977657819 =  a:6452 b:6534 c:6843
9619^3 = 889999523659 =  a:1083 b:2760 c:9538
9619^3 = 889999523659 =  a:2734 b:5739 c:8796
9619^3 = 889999523659 =  a:302 b:7414 c:7843
9623^3 = 891110287367 =  a:2582 b:4696 c:9167
9697^3 = 911826451873 =  a:1126 b:1409 c:9682
9697^3 = 911826451873 =  a:2196 b:4792 c:9249
9697^3 = 911826451873 =  a:2529 b:5080 c:9144
9697^3 = 911826451873 =  a:3624 b:4180 c:9249
9829^3 = 949572229789 =  a:1125 b:4512 c:9496
9829^3 = 949572229789 =  a:6618 b:6652 c:7149
9887^3 = 966481627103 =  a:1103 b:2001 c:9855
9887^3 = 966481627103 =  a:2924 b:6178 c:8903
9887^3 = 966481627103 =  a:5260 b:7079 c:7754
10271^3 = 1083523132511 =  a:974 b:7983 c:8310
10273^3 = 1084156216417 =  a:1530 b:4398 c:9985
10273^3 = 1084156216417 =  a:481 b:7176 c:8940
10459^3 = 1144117132579 =  a:6067 b:6456 c:8670
10459^3 = 1144117132579 =  a:709 b:2585 c:10405
10559^3 = 1177249106879 =  a:1007 b:7946 c:8770
10559^3 = 1177249106879 =  a:6748 b:7472 c:7679
10627^3 = 1200140361883 =  a:627 b:3390 c:10510
10627^3 = 1200140361883 =  a:6635 b:7186 c:8128
10687^3 = 1220583312703 =  a:2070 b:4434 c:10399
10687^3 = 1220583312703 =  a:3706 b:7751 c:8896
10687^3 = 1220583312703 =  a:4512 b:5431 c:9894
10739^3 = 1238487213419 =  a:1283 b:6830 c:9718
10739^3 = 1238487213419 =  a:527 b:7471 c:9365
10847^3 = 1276229915423 =  a:2465 b:8053 c:9041
10847^3 = 1276229915423 =  a:2759 b:3490 c:10664
10847^3 = 1276229915423 =  a:3551 b:5410 c:10238
10847^3 = 1276229915423 =  a:3980 b:5599 c:10124
10847^3 = 1276229915423 =  a:6023 b:7779 c:8373
10909^3 = 1298239519429 =  a:1965 b:5626 c:10362
10909^3 = 1298239519429 =  a:3581 b:6334 c:9994
10957^3 = 1315451937493 =  a:2116 b:3205 c:10838
10957^3 = 1315451937493 =  a:3264 b:7821 c:9292
10957^3 = 1315451937493 =  a:3376 b:8389 c:8822
10957^3 = 1315451937493 =  a:6133 b:6936 c:9090
11003^3 = 1332089297027 =  a:1139 b:7702 c:9560
11003^3 = 1332089297027 =  a:2286 b:8595 c:8816
11003^3 = 1332089297027 =  a:2771 b:7070 c:9856
11119^3 = 1374665998159 =  a:2455 b:8306 c:9232
11119^3 = 1374665998159 =  a:6211 b:6215 c:9637
11213^3 = 1409825840597 =  a:5630 b:7838 c:9085
11369^3 = 1469490556409 =  a:4304 b:4713 c:10872
11467^3 = 1507819784563 =  a:163 b:1630 c:11456
11467^3 = 1507819784563 =  a:6171 b:7554 c:9442
11471^3 = 1509398240111 =  a:1826 b:4663 c:11192
11471^3 = 1509398240111 =  a:5166 b:7538 c:9807
11617^3 = 1567768622113 =  a:2881 b:5074 c:11222
11617^3 = 1567768622113 =  a:5385 b:8656 c:9138
11617^3 = 1567768622113 =  a:905 b:1426 c:11608
11939^3 = 1701781729019 =  a:1094 b:1619 c:11926
11939^3 = 1701781729019 =  a:2648 b:7115 c:10978
11939^3 = 1701781729019 =  a:5625 b:6297 c:10841
11941^3 = 1702637110621 =  a:1618 b:7054 c:11045
11981^3 = 1719804989141 =  a:4544 b:7822 c:10469
12119^3 = 1779919481159 =  a:1478 b:5015 c:11818
12119^3 = 1779919481159 =  a:4640 b:7268 c:10903
12119^3 = 1779919481159 =  a:7583 b:8004 c:9402
12203^3 = 1817187889427 =  a:1991 b:4925 c:11911
12203^3 = 1817187889427 =  a:2499 b:8414 c:10644
12253^3 = 1839616518277 =  a:2637 b:4710 c:11974
12289^3 = 1855878893569 =  a:2526 b:3921 c:12118
12329^3 = 1874060287289 =  a:1079 b:7935 c:11115
12329^3 = 1874060287289 =  a:240 b:3057 c:12266
12329^3 = 1874060287289 =  a:551 b:9493 c:10061
12329^3 = 1874060287289 =  a:5881 b:7274 c:10874
12329^3 = 1874060287289 =  a:7163 b:7935 c:10023
12373^3 = 1894196539117 =  a:246 b:1942 c:12357
12373^3 = 1894196539117 =  a:5269 b:6484 c:11384
12413^3 = 1912626928997 =  a:2325 b:8847 c:10649
12413^3 = 1912626928997 =  a:3288 b:9290 c:10245
12413^3 = 1912626928997 =  a:3413 b:9340 c:10190
12413^3 = 1912626928997 =  a:3461 b:9592 c:9962
12421^3 = 1916327294461 =  a:1518 b:3966 c:12277
12421^3 = 1916327294461 =  a:2386 b:3109 c:12326
12421^3 = 1916327294461 =  a:3421 b:8040 c:11070
12457^3 = 1933038007993 =  a:1842 b:2841 c:12394
12457^3 = 1933038007993 =  a:321 b:9636 c:10126
12497^3 = 1951719087473 =  a:2360 b:8894 c:10729
12497^3 = 1951719087473 =  a:5150 b:5168 c:11881
12539^3 = 1971463346819 =  a:2153 b:3609 c:12417
12539^3 = 1971463346819 =  a:5012 b:9506 c:9955
12541^3 = 1972406856421 =  a:1084 b:9720 c:10173
12541^3 = 1972406856421 =  a:2813 b:9556 c:10252
12541^3 = 1972406856421 =  a:2829 b:4734 c:12262
12659^3 = 2028608307179 =  a:1760 b:3534 c:12555
12659^3 = 2028608307179 =  a:1906 b:4451 c:12458
12659^3 = 2028608307179 =  a:3323 b:3880 c:12458
12659^3 = 2028608307179 =  a:3867 b:9060 c:10706
12703^3 = 2049834952927 =  a:5911 b:8452 c:10742
12781^3 = 2087826975541 =  a:2280 b:6933 c:12034
12781^3 = 2087826975541 =  a:5713 b:6991 c:11597
12781^3 = 2087826975541 =  a:747 b:2179 c:12759
12893^3 = 2143196285957 =  a:4556 b:5381 c:12370
12893^3 = 2143196285957 =  a:5477 b:5532 c:12186
12893^3 = 2143196285957 =  a:5663 b:9463 c:10367
12979^3 = 2186370189739 =  a:1162 b:4475 c:12796
12979^3 = 2186370189739 =  a:1731 b:7686 c:11998
12979^3 = 2186370189739 =  a:2440 b:2604 c:12915
13049^3 = 2221936756649 =  a:2692 b:8657 c:11582
13163^3 = 2280681521747 =  a:3370 b:10235 c:10538
13313^3 = 2359542455297 =  a:1361 b:9406 c:11510
13313^3 = 2359542455297 =  a:4737 b:5580 c:12764
13313^3 = 2359542455297 =  a:7192 b:8513 c:11108
13313^3 = 2359542455297 =  a:8472 b:8508 c:10433
13457^3 = 2436939554993 =  a:1874 b:8889 c:12000
13457^3 = 2436939554993 =  a:4812 b:8273 c:12072
13487^3 = 2453274092303 =  a:6998 b:8871 c:11220
13567^3 = 2497189355263 =  a:1831 b:9138 c:12000
13567^3 = 2497189355263 =  a:3244 b:10431 c:10992
13567^3 = 2497189355263 =  a:5098 b:7170 c:12591
13567^3 = 2497189355263 =  a:534 b:7942 c:12591
13567^3 = 2497189355263 =  a:687 b:3534 c:13486
13597^3 = 2513791727173 =  a:3021 b:8046 c:12526
13597^3 = 2513791727173 =  a:3699 b:6649 c:12945
13597^3 = 2513791727173 =  a:4691 b:10015 c:11203
13697^3 = 2569664159873 =  a:1970 b:3464 c:13609
13697^3 = 2569664159873 =  a:5679 b:5687 c:13011
13901^3 = 2686198671701 =  a:1349 b:10264 c:11702
13901^3 = 2686198671701 =  a:69 b:1734 c:13892
13967^3 = 2724641702063 =  a:1719 b:5700 c:13634
13967^3 = 2724641702063 =  a:1800 b:2231 c:13938
14033^3 = 2763449773937 =  a:1721 b:8776 c:12770
14033^3 = 2763449773937 =  a:209 b:1744 c:14024
14033^3 = 2763449773937 =  a:552 b:6057 c:13646
14033^3 = 2763449773937 =  a:6596 b:9169 c:11948
14197^3 = 2861473623373 =  a:2209 b:2739 c:14145
14197^3 = 2861473623373 =  a:3217 b:9459 c:12561
14197^3 = 2861473623373 =  a:3424 b:5493 c:13848
14197^3 = 2861473623373 =  a:4733 b:9946 c:12100
14197^3 = 2861473623373 =  a:9362 b:10018 c:10117
14323^3 = 2938339516267 =  a:3502 b:6572 c:13771
14323^3 = 2938339516267 =  a:3659 b:6430 c:13792
14323^3 = 2938339516267 =  a:5997 b:10593 c:11533
14323^3 = 2938339516267 =  a:7122 b:10035 c:11614
14323^3 = 2938339516267 =  a:8995 b:9482 c:11074
14387^3 = 2977904258603 =  a:3014 b:9067 c:13016
14387^3 = 2977904258603 =  a:6260 b:10168 c:11891
14447^3 = 3015317292623 =  a:4178 b:7383 c:13644
14447^3 = 3015317292623 =  a:5052 b:10514 c:11991
14449^3 = 3016569760849 =  a:4281 b:9402 c:12820
14537^3 = 3072022352153 =  a:2213 b:3335 c:14461
14657^3 = 3148728851393 =  a:50 b:8378 c:13681
14717^3 = 3187556339813 =  a:4176 b:10442 c:12549
14717^3 = 3187556339813 =  a:5493 b:10695 c:12161
14867^3 = 3286018652363 =  a:2614 b:5003 c:14648
14867^3 = 3286018652363 =  a:2814 b:4275 c:14714
14867^3 = 3286018652363 =  a:4091 b:4210 c:14648
14867^3 = 3286018652363 =  a:4388 b:4906 c:14555
14867^3 = 3286018652363 =  a:5360 b:10219 c:12734
